"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Mức giá internet","Mức giá nước","Mức giá điện","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","Thời gian dự kiến vào ở","Tiện ích","title","url","Đường vào"
"250 m²","","","20 m","433 nghìn/m²","","","","","","","","1 tầng","","","Cho thuê mặt bằng kinh doanh lô góc Lĩnh Nam diện tích 250m2 mặt tiền 20m LH 0913 319 ***","https://batdongsan.com.vn/cho-thue-sang-nhuong-cua-hang-ki-ot-duong-linh-nam-phuong-vinh-hung-2/cho-mat-bang-kinh-doanh-lo-goc-dien-tich-250m2-mat-tien-20m-lh-pr42552970",""
"103 m²","","","4,5 m","290 triệu/m²","","","","","Sổ đỏ/ Sổ hồng.","","","","","","Bán nhà mặt phố tại đường Giải Phóng, giá 290 triệu/m2, diện tích 103m2, chính chủ hot!","https://batdongsan.com.vn/ban-nha-mat-pho-duong-giai-phong-phuong-thinh-liet/ban-tai-ng-gia-290-trieu-m2-dien-tich-103m2-chinh-chu-hot-pr41619043?source=ad&adid=2986314",""
"44 m²","","","","10,95 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","","","","","","Nhà đẹp Kim Giang, ô tô đỗ cửa, ở hay kinh doanh đỉnh,","https://batdongsan.com.vn/ban-nha-rieng-duong-kim-giang-phuong-dai-kim/-dep-o-to-do-cua-o-hay-kinh-doanh-dinh-pr42884893",""
"90 m²","","","5 m","70 triệu/m²","","","","","Hợp đồng mua bán","","","","","","Quỹ căn siêu đẹp Trực tiếp giá gốc CĐT dự án Majestic City, vào tiền 15% hỗ trợ 2 năm không lãi","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-quy-quynh-phuong-nhan-hoa-prj-majestic-city/truc-tiep-gia-cdt-dat-coc-thien-chi-du-an-vao-tien-15-ho-tro-2-nam-khong-lai-pr42333823",""
"55.320 m²","","Nam","150 m","13 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","5,5ha mặt tiền đường Xã Nghĩa Thắng Dak Nong bán cho nhà đầu tư","https://batdongsan.com.vn/ban-dat-duong-nhan-co-phuong-nghia-duc-1/5-5ha-mat-tien-xa-thang-dak-nong-ban-cho-nha-dau-tu-pr42856990","12 m"
"65 m²","","","","2,95 tỷ","","","","","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","HOT, HIẾM !!! 2.95 tỉ vẫn mua đc căn 2PN HAPPY ONE xịn xò ạ ^^","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thanh-loc-8-phuong-thanh-loc-3-prj-happy-one-premier-thanh-loc/hot-hiem-2-95-ti-van-mua-dc-2pn-xin-xo-a-pr42924925",""
"40 m²","","","","2,6 tỷ","","","","","Sổ đỏ/ Sổ hồng","1 phòng","1 phòng","","","","Bán nhà giá rẻ trung tâm q12 sổ sách đầy đủ","https://batdongsan.com.vn/ban-nha-rieng-duong-trung-my-tay-phuong-trung-my-tay/ban-gia-re-tam-q12-so-sach-day-du-pr42908738",""
"68 m²","","","4 m","5,6 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","6 phòng","4 tầng","","","Bán gấp nhà Mặt Tiền kinh doanh đỉnh 4 tầng, 68m2(4x17m) đường Hà Chương, Quận 12. Giá chốt cực tốt","https://batdongsan.com.vn/ban-nha-mat-pho-duong-ha-chuong-phuong-trung-my-tay/ban-gap-tien-kinh-doanh-dinh-4-tang-68m2-4x17m-quan-12-gia-chot-cuc-tot-pr42112392","16 m"
"48 m²","","","4 m","6 triệu/tháng","","","","","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","2 tầng","","","Cho thuê nhà nguyên căn 4x12m, trệt 1 lầu, 3pn đã sơn mới đẹp 6tr","https://batdongsan.com.vn/cho-thue-nha-rieng-duong-nguyen-van-qua-phuong-dong-hung-thuan-a/cho-can-4x12-tret-1-lau-3pn-da-son-moi-dep-6tr-pr41615033","8 m"
"60 m²","","Đông","","Thỏa thuận","","","","","Sổ đỏ/ Sổ hồng","","","","","","Chính chủ đi định cư nước ngoài sang gấp lô đất MT Song Hành giá cả thỏa thuận LH: 0907 395 ***","https://batdongsan.com.vn/ban-dat-duong-song-hanh-phuong-trung-my-tay/chinh-chu-di-dinh-cu-nuoc-ngoai-sang-gap-lo-mt-gia-ca-thoa-thuan-lh-pr41957445","15 m"
"416 m²","","Tây - Bắc","16 m","12,5 triệu/m²","","","","","Sổ đỏ","","","","","","Lô đất 416m2 mặt tiền 16m tại Cổ Đông Sơn Tây, giá 1x tr/m2","https://batdongsan.com.vn/ban-dat-duong-21-1-xa-co-dong/lo-416m2-mat-tien-16m-tai-son-tay-gia-1x-tr-m2-pr42923983","4 m"
"212 m²","","Nam","16 m","Thỏa thuận","","","","","","","","","","","HÀNG CỰC HIẾM 1 LÔ BIỆT THỰ có sổ khu đô thị Thiên Mã xây tự do gần Hồ DT 212m2","https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-21a-quoc-lo-21-xa-son-dong-1-prj-hoa-lac-premier-residence/so-do-chinh-chu-biet-thu-lien-ke-thien-ma-ban-lai-gia-re-nhat-thi-truong-pr39370948","13 m"
"154 m²","","","7 m","18 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","5 tầng","","","Bán shophouse Regal Maison Phú Yên, 18 tỷ, 154m2, mặt tiền 7m, pháp lý đầy đủ","https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-hung-vuong-2-xa-binh-kien-prj-regal-maison-phu-yen/ban-18-ty-154m2-mat-tien-7m-phap-ly-day-du-pr42898220",""
"1.539 m²","","","5,2 m","46 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Đất mặt tiền kho xưởng căn hộ dịch vụ Đường Thống Nhất, P. Bình An, Tp. Dĩ An","https://batdongsan.com.vn/ban-dat-duong-thong-nhat-phuong-binh-an-1/-mat-tien-kho-xuong-c-ho-dich-vu-p-tp-di-pr42891767","32 m"
"60 m²","","","4 m","3,65 tỷ","","","","","Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","3 tầng","","","Bán nhà 1 trệt 2 lầu hoàn công 3,65 tỷ cách Thủ Đức 6km, p.Tân Đông Hiệp, Tp.Dĩ An","https://batdongsan.com.vn/ban-nha-rieng-duong-my-phuoc-tan-van-phuong-tan-dong-hiep/ban-1-tret-2-lau-hoan-cong-3-65-ty-cach-thu-duc-6km-p-tp-di-an-pr42923178","13 m"
"146,2 m²","","","","16 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","","","","Chính chủ - Bán nhà khu compound Jamona Home Resort (Hiệp Bình Phước, Thủ Đức)","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-jamona-home-resort/chinh-chu-ban-khu-compound-duc-pr42333123",""
"85 m²","","","","Thỏa thuận","","","","","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Bán căn hộ căn góc view thoáng tiện ích 2PN, 2WC tại Palm Residence, Quận 2 85m2","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-song-hanh-phuong-an-phu-prj-palm-residence/ban-goc-view-tang-2pn-2wc-tai-quan-2-85m2-gia-uu-dai-2-2-ty-pr42236677",""
"56 m²","","","","Thỏa thuận","","","","Tặng nội thất theo nhà.","Sổ đỏ/ Sổ hồng","4 phòng","","3 tầng","","","Ngộp cần bán gấp nhà ở Trần Não - Q2. TP Thủ Đức , 2 tầng Giá 3 tỷ 5 Gần Vicom Mage Mall Thảo Điền","https://batdongsan.com.vn/ban-nha-rieng-duong-tran-nao-phuong-binh-an/ngop-can-ban-gap-o-q2-gan-vicom-mage-mall-thao-dien-gia-3-ty-850-thuong-luong-pr41890172",""
"450 m²","","","","40 triệu/tháng","","","","","","","","4 tầng","","","Cho thuê lâu dài nhà đường Lương Định Của gần UBND phường, an ninh 24/24 để ở, văn phòng công ty","https://batdongsan.com.vn/cho-thue-nha-rieng-pho-luong-dinh-cua-phuong-binh-an/cho-lau-dai-duong-g-ubnd-ninh-24-24-de-o-v-phong-cong-ty-pr40958214",""
"163 m²","","Tây","","3,58 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Siêu hot nền (163m2) cách Vinhomes 50m, sổ hồng riêng","https://batdongsan.com.vn/ban-dat-thi-tran-hau-nghia/sieu-hot-nen-163m2-cach-vinhomes-50m-so-hong-rieng-pr42918862",""
"288,6 m²","","","11 m","4,2 tỷ","","","","","Sổ hồng","","","","","","Chính chủ bán lô góc 288,6m2 full thổ cư 2 MT đường lớn trung tâm Tp Gia Nghĩa, view hồ cực đẹp","https://batdongsan.com.vn/ban-dat-phuong-nghia-duc-1/chinh-chu-ban-lo-goc-288-6m2-full-tho-cu-2-mt-duong-lon-trung-tam-tp-gia-view-ho-cuc-dep-pr42755865",""
"110 m²","Tây - Bắc","Tây - Bắc","4,5 m","9,5 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","14 phòng","15 phòng","5 tầng","","","Bán nhà nghỉ phố Trại Lẻ 110m2, 14 phòng khai thác ra dòng tiền","https://batdongsan.com.vn/ban-nha-mat-pho-duong-trai-le-phuong-kenh-duong/ban-nghi-110m2-15-ng-khai-thac-ra-dong-tien-pr42413234","15 m"
"200 m²","","","","30 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Mặt đường Trần Nguyên Hãn, tòa nhà cao tầng đắc địa đẹp nhất tuyến đường, giá cực tốt","https://batdongsan.com.vn/ban-nha-mat-pho-pho-tran-nguyen-han-phuong-tran-nguyen-han/-duong-toa-cao-tang-dac-dia-dep-t-tuyen-duong-gia-cuc-tot-pr42604387",""
"120 m²","","Đông - Nam","5 m","2,9 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Khách cần bán gấp nền 120m2, view công view, 6x20, giá 2.9 tỷ, đơn giá cực tốt 24tr/m2","https://batdongsan.com.vn/ban-dat-nen-du-an-duong-le-van-luong-xa-long-hau-prj-saigon-village/sai-gon-gd-2-dien-am-nuoc-may-mau-nha-dep-nhat-mua-truc-tiep-chu-dau-tu-tt-12th-pr42725091","16 m"
"120 m²","","Nam","5 m","479 triệu","","","","","Sổ đỏ/ Sổ hồng","","","","","","Gia đình có lô đất lớn mới tách được 10 lô đất nhỏ cần chia lại giá rẻ","https://batdongsan.com.vn/ban-dat-duong-dt-764-xa-xuan-tay/gia-dinh-co-lo-lon-moi-tach-duoc-10-lo-nho-can-chia-lai-gia-re-pr42812786","5 m"
"63 m²","","","","Thỏa thuận","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Căn hộ trung tâm Đà Nẵng chỉ từ 2 tỷ 6 (full nội thất cao cấp) - trả trước 600tr, hỗ trợ vay 70%","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ngo-thi-nham-phuong-hoa-khanh-bac-prj-mia-center-point/-trung-tam-da-nang-chi-tu-2ty6-full-noi-that-cao-cap-tra-truoc-600tr-tro-vay-70-pr42892482",""
"91 m²","Tây","Bắc","","6,15 tỷ","","","","Cơ bản.","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Bán CC 91m2, 5,8 tỷ, 3PN, 2WC tại Nguyễn Đức Cảnh, Hoàng Mai, Hà Nội, giá ưu đãi","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-duc-canh-phuong-tuong-mai-prj-hud3-nguyen-duc-canh/ban-cc-91m2-5-95-ty-3pn-2wc-tai-hoang-ha-noi-gia-uu-dai-pr42506232",""
"76 m²","","","4 m","4,06 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Cần bán lô đất 81.15 khu đô thị Vạn Phúc Thanh Bình Hải Dương","https://batdongsan.com.vn/ban-dat-phuong-thanh-binh-11/can-ban-lo-81-15-khu-do-thi-van-phuc-hai-duong-pr42698296","11 m"
"6.000 m²","","","","Thỏa thuận","","","","","","","","","","","Bán nhà xưởng 6000m rộng 40m khu Thạch Khôi, cách đường võ nguyên giáp 200m, Nằm trong cụm cn","https://batdongsan.com.vn/ban-kho-nha-xuong-phuong-thach-khoi/ban-6000m-rong-40m-khu-cach-duong-vo-nguyen-giap-200m-nam-trong-cum-cn-pr42578937",""
"74 m²","","","","Thỏa thuận","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Chính chủ bán 74m2 view hồ, 02PN full nội thất, slot oto An Bình City giá 5. X tỷ, Phạm Văn Đồng","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-co-nhue-1-prj-an-binh-city/chinh-chu-b-74m2-view-02-pn-full-noi-that-slot-oto-gia-5-x-ty-dong-pr42751598",""
"83 m²","","","","5,8 tỷ","","","","","","2 phòng","","","","","Quỹ căn hộ bán độc quyền giá rẻ Sunshine City Ciputra - Em Cường 0976 044 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/quy-ban-doc-quyen-gia-re-ciputra-em-cuong-pr42922217",""
"80,5 m²","Đông - Nam","Tây - Bắc","","5,15 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Bán CC The One Residence - Gamuda Garden, 5,15 tỷ, 80,5m2, view đẹp, giá tốt","https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tran-phu-7-prj-the-one-residence-gamuda-garden/ban-cc-5-15-ty-80-5m2-view-dep-gia-tot-pr42672594",""
"55 m²","Tây - Bắc","Đông - Nam","5 m","13 triệu/tháng","","","","","","4 phòng","4 phòng","4 tầng","","","Cho thuê nhà 3,5 tầng x50m2 ngõ 13 lĩnh nam","https://batdongsan.com.vn/cho-thue-nha-rieng-duong-linh-nam-phuong-mai-dong-1/cho-3-5-tang-x50m2-ngo-13-nam-pr42643908","8 m"
"173 m²","","","","12,8 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán lô đất góc 2 mặt tiền DT: 9,5x19,5m thuộc KDC Phong Phú 5, cách bến xe Q8 vào 700m","https://batdongsan.com.vn/ban-dat-nen-du-an-xa-phong-phu-4-prj-khu-dan-cu-phong-phu-5/ban-lo-goc-2-mat-tien-dt-9x19-5m-thuoc-kdc-5-cach-ben-xe-q8-vao-700m-pr40653561","12 m"
"106 m²","","Tây - Nam","","Thỏa thuận","","","","Nội thất nhập khẩu cao cấp đến từ các thương hiệu chấu Âu: Điều hoà âm trần, bếp, nhà vệ sinh, thiết bị liền tường đầy đủ tiêu chuẩn cao.","","3 phòng","","","","","Quỹ căn nội bộ The Nelson tầng đẹp giá niêm yết, chiết khấu cao nhất cho quý khách trong tháng 5","https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-lang-ha-phuong-thanh-cong-prj-the-nelson-private-residences/quy-noi-bo-tang-dep-gia-niem-yet-chiet-khau-cao-cho-quy-khach-hang-trong-thang-12-pr41924361",""
"67 m²","","","","6 triệu/tháng","","","","Đầy đủ","","2 phòng","2 phòng","","","","Cho thuê căn hộ 2PN 2WC Q12 gần full nội thất giá 6tr. Liên hệ: 0934 335 ***","https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-quoc-lo-1a-phuong-thoi-an-1-prj-zen-tower/c-2pn2wc-q12-full-noi-that-gia-5-5tr-coc-1thang-lien-he-pr40587045",""
"33 m²","","","4 m","1,85 tỷ","","","","Cơ bản","Đang chờ sổ","2 phòng","2 phòng","2 tầng","","","Cần bán nhà TCH13, Tân Chánh Hiệp, Q12, 33m2, giá 1,85 tỷ - còn TL","https://batdongsan.com.vn/ban-nha-rieng-duong-tan-chanh-hiep-13-phuong-tan-chanh-hiep-1/can-ban-tch13-q12-33m2-gia-1-85-ty-con-tl-pr42790513","4 m"
"56 m²","Đông","","","2,55 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","","","","30 Căn hộ suất nội bộ CDT mặt tiền Nguyễn Lương Bằng PHú mỹ Hưng căn 55m2 giá chỉ 2ty590/căn","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-phu-my-9-prj-viva-plaza/30-suat-noi-bo-cdt-mat-tien-hung-55m2-gia-chi-2ty590-pr42923948",""
"120 m²","","","","15 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","4 tầng","","","MT 5x24 120m2 giá 15 tỷ rẻ nhất Nam Long Trần Trọng Cung, Q7 cách Vincom 50m 0989 866 *** Tuyền","https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-trong-cung-phuong-tan-thuan-dong-1-prj-khu-do-thi-nam-long/-tien-so-q7-dang-co-hd-thue-35-trieu-cach-vincom-50m-0989866306-pr37876131",""
"544 m²","","Đông - Nam","18 m","5 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Hơn 550m2 đất dân - Bình Lập cách biển 140m, cần chủ mới","https://batdongsan.com.vn/ban-dat-xa-cam-lap/-gan-550m2-dan-binh-cach-bien-140m-can-chu-new-pr33726099","5 m"
"60 m²","","Tây - Nam","","6 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","BÁN MEZZA LANDMARK TKE 3PN NGUYÊN BẢN GIÁ TỐT","https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-swan-lake-onsen-residences/ban-mezza-landmark-tke-3pn-nguyen-ban-gia-tot-pr42869089",""
"82 m²","","","5,5 m","2,95 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Chỉ hơn 2 tỷ sở hữu ngay lô góc view công viên gần trường học tại TDC Phú Xuân TP Thái Bình","https://batdongsan.com.vn/ban-dat-duong-lien-xa-xa-phu-xuan-5/chi-hon-2-ty-so-huu-ngay-lo-goc-view-cong-vien-gan-truong-hoc-tai-tdc-tp-thai-binh-pr42871384","7 m"
"57 m²","","","","6 triệu/tháng","","","","","","2 phòng","2 phòng","","","","Cho thuê căn hộ Sunrise Becamex, Thủ Dầu Một, Bình Dương","https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-quoc-lo-13-phuong-chanh-nghia-prj-becamex-city-center/c-sunrise-thu-dau-mot-binh-duong-pr42046309",""
"100 m²","","","5 m","Thỏa thuận","","","","","Hợp đồng mua bán","","","","","","Bán nhà phố dự án tại phường Bắc Lệnh Lào Cai giá đầu tư đợt 1 ưu đãi cách đường Trần Hưng Đạo 30m","https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-bac-lenh-prj-dragon-complex/ban-du-an-tai-lao-cai-gia-dau-tu-dot-1-uu-dai-cach-duong-tran-hung-dao-30m-pr42901507","20 m"
"360 m²","","","","7,5 tỷ","","","","","","2 phòng","3 phòng","1 tầng","","","Biệt thự Vinpearl giảm hơn 50% so với giá gốc, chỉ 9 tỷ căn 3PN, 7.5 tỷ 2PN, LN thuê 1,750 tỷ/năm","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-ganh-dau-prj-vinpearl-phu-quoc/chinh-chu-ban-bien-cat-lo-5-ty-3-phong-ngu-gia-13-ty-pr30682238",""
"107,5 m²","","Đông - Bắc","5 m","2,39 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán đất kế bên trường cấp 2 Phú Hòa, TP Thủ Dầu Một. 5x21m, TC 60m. Đường bêtông 5m, hướng Đông Bắc","https://batdongsan.com.vn/ban-dat-phuong-phu-hoa/ban-ke-ben-truong-cap-2-tp-thu-dau-mot-5x21m-tc-60m-duong-betong-5m-huong-dong-bac-pr42485197","5 m"
"50 m²","","","","8,9 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","3 tầng","","","Bán gấp nhà mới xây. 50m2. Hẻm xe hơi Nguyễn Trãi, Q5. Đoạn 2 chiều - 8,9 tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-trai-phuong-2-15/ban-gap-moi-xay-50m2-hem-xe-hoi-q5-doan-2-chieu-8-9-ty-pr42925365",""
"107 m²","","","","10 tỷ","","","","Cơ bản","Hợp đồng mua bán","3 phòng","2 phòng","","","","GIỎ HÀNG CĂN HỘ 3 PHÒNG NGỦ CAO CẤP GIÁ TỐT CHỦ NHÀ THIỆN CHÍ ONE VERANDAH 5/2025","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-bat-nan-phuong-thanh-my-loi-prj-one-verandah-mapletree/gio-hang-3-png-ngu-cao-cap-gia-tot-chu-nha-thien-chi-5-2025-pr42850185",""
"22 m²","Đông - Bắc","Đông - Bắc","3,2 m","2,98 tỷ","","","","","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","3 tầng","","","Bán nhà 3 tầng khu vip Thanh Đa hẻm sạch thoáng gần mặt tiền đủ tiện ích xung quanh giá 2.98 tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-binh-quoi-phuong-27/ban-3-tang-khu-vip-thanh-da-hem-sach-thoang-gan-mat-tien-du-tien-ich-xung-quanh-gia-2-98-ty-pr42802149",""
"210 m²","","","","28 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","","","","Bán vội căn penthouse với nội thất siêu siêu đẹp dễ thương, 28 tỷ","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-an-phu/ban-voi-penthouse-voi-that-sieu-sieu-dep-de-thuong-28ty-pr42765415",""
"260 m²","","","11,5 m","70 tỷ","","","","","","","","6 tầng","","","BÁN SIÊU MẶT TIỀN NGAY TRẦN NÃO P.AN KHÁNH Q2 -DT: 11.5X25M XÂY HẦM 6 LẦU HĐT 200TR/TH GIÁ 70 TỶ","https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-nao-phuong-an-khanh/b-sieu-tien-ngay-p-khh-q2-dt-11-5x25m-xay-ham-6-lau-hdt-200tr-th-gia-70-ty-pr42808138",""
"95 m²","","","","7,1 tỷ","","","","Full.","Hợp đồng mua bán","3 phòng","2 phòng","","","","Bán CC New City Thủ Thiêm 3PN, 2WC, 7,1 tỷ, 95m2 tại Mai Chí Thọ, Q2, HCM","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-binh-khanh-prj-new-city-thu-thiem/ban-cc-3pn-2wc-7-1-ty-95m2-tai-q2-hcm-pr42919186",""
"52 m²","","","","12 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","2 tầng","","","Cần bán căn nhà hẻm 8m sát mặt tiền Ba Tháng Hai, P11, Quận 10 giá 12 tỷ tl","https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-11-5/can-ban-can-hem-8m-sat-mat-tien-ba-thang-hai-p11-quan-10-gia-12-ty-tl-pr42912467","8 m"
"360 m²","","","","8 tỷ","","","","","","","","","","","Bán biệt thự 2PN View Hồ tại Vinpearl Phú Quốc - Đang được Melia vận hành cho thuê - LN 1,5 tỷ/năm","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-ganh-dau-prj-vinpearl-phu-quoc/ban-2pn-view-ho-tai-dang-duoc-melia-van-hanh-cho-e-ln-1-5-ty-nam-pr42849784",""
"1.298,9 m²","","","","1,8 tỷ","","","","","Có sổ rõ ràng","","","","","","Chính chủ cần bán gấp nhà riêng tại Trường Hòa, Hòa Thành, Tây Ninh diện tích 1298,9m2 giá siêu hời","https://batdongsan.com.vn/ban-nha-rieng-xa-truong-hoa/chinh-chu-can-ban-gap-tai-thanh-tay-ninh-dien-tich-1298-9-m2-gia-sieu-hoi-pr42822919",""
"415 m²","","Đông - Nam","10,5 m","650 triệu","","","","","Sổ đỏ/ Sổ hồng","","","","","","Chủ cần bán nhanh lô đất nông nghiệp quy hoạch đất ở hẻm Võ Nguyên Giáp, TP Kon Tum","https://batdongsan.com.vn/ban-dat-duong-vo-nguyen-giap-phuong-duy-tan/chu-can-ban-nhanh-lo-nong-nghiep-quy-hoach-o-hem-tp-kon-tum-pr42760917","5 m"
"95,2 m²","","Bắc","5 m","1,95 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Hot đất khu du lịch biển Tiên Trang Quảng Xương Thanh Hóa","https://batdongsan.com.vn/ban-dat-xa-tien-trang/duy-nhat-1-lo-truc-uy-ban-dan-cu-sam-uat-canh-nghi-caffe-cong-ty-karaoke-dien-tich-95-pr42908766","15 m"
"120 m²","","","6 m","550 triệu","","","","","Sổ đỏ/ Sổ hồng","","","","","","Chính chủ cần bán gấp đất, Đ. Quốc Lộ 1A, Xã Lý Văn Lâm, Cà Mau, 120m2, gần THCS và THPT Lý Văn Lâm","https://batdongsan.com.vn/ban-dat-duong-quoc-lo-1a-xa-ly-van-lam/chinh-chu-can-ban-gap-d-ca-mau-120m2-gan-thcs-va-thpt-pr42900408",""
"200 m²","","","","600 triệu","","","","","","","","","","","Đầu tư ngay - đón sóng sát nhập Bắc Ninh về Bắc Giang - đất nền chũ giá rẻ bất ngờ","https://batdongsan.com.vn/ban-dat-thi-tran-chu/dau-tu-ngay-don-song-sat-nhap-bac-ninh-ve-bac-giang-nen-gia-re-bat-ngo-pr42895920",""
"50 m²","","","5,5 m","12,2 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","5 phòng","4 phòng","5 tầng","","","Bán Nhà Vạn Phúc Kinh Doanh, ÔTÔ tránh nhau- Ngay Bưu Điện Hà Đông- Ngô Thì Nhậm MT 5,5m ,giá 12ty2","https://batdongsan.com.vn/ban-nha-rieng-duong-van-quan-phuong-van-phuc-1/ban-kinh-doanh-oto-tranh-u-ngay-buu-dien-ha-dong-ngo-thi-m-mt-6m-gia-12ty2-pr42889280",""
"64 m²","","Đông","","7,8 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","6 phòng","4 tầng","","","Nhà Ngay Cách Chợ Lạc Quang 50m, Đường Xe Hơi Thông, Trệt lửng 3 lầu 4pn, 6wc","https://batdongsan.com.vn/ban-nha-rieng-duong-tan-thoi-nhat-1-phuong-tan-thoi-nhat-1/-5-tang-moi-xay-full-noi-that-ngay-cho-lac-quang-8m-pr42642922",""
"200 m²","Tây - Nam","Tây - Nam","15 m","85 triệu/tháng","","","","Cơ bản","","","3 phòng","3 tầng","","PCCC","Cho thuê nhà mặt phố 3 tầng đường Hiệp Bình, 200m2, chính chủ, giá cực chất, Thủ Đức, HCM","https://batdongsan.com.vn/cho-thue-nha-mat-pho-duong-hiep-binh-phuong-hiep-binh-phuoc/cho-3-tang-200m2-chinh-chu-gia-cuc-chat-thu-duc-hcm-pr42689981","20 m"
"52 m²","","Đông - Bắc","4,2 m","3,55 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Duy nhất lô giá mềm sát QL13 sắp mở rộng - chỉ 3.55 tỷ","https://batdongsan.com.vn/ban-dat-duong-12-phuong-hiep-binh-phuoc/duy-nhat-lo-gia-mem-sat-ql13-sap-mo-rong-chi-3-55-ty-pr42524754","5 m"
"60 m²","","","8 m","9 tỷ","","","","Đầy đủ","Sổ hồng","4 phòng","4 phòng","4 tầng","","","Full nội thất - DTSD 168m2 - nhà đẹp 4 tầng - HXH - Trường Thọ - giá chỉ 8x. Tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-kha-van-can-phuong-truong-tho-2/full-noi-that-168m2-dep-4-tang-hxh-gia-chi-8x-ty-pr42898875","8 m"
